[admin.py:29] - 2023-10-24 21:05:06,933 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,434 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,435 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,435 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,435 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,436 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,436 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,436 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,436 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,437 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,437 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,437 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,437 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,438 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-24 21:34:53,438 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:29] - 2023-10-25 18:46:12,100 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,118 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,119 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,119 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,119 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,119 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,129 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,129 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,130 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,130 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,130 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,140 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,141 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,141 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,143 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-10-25 18:46:13,143 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:1053] - 2023-10-25 18:46:23,646 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:547] - 2023-10-25 18:46:23,959 - DEBUG - https://discord.com:443 "GET /api/webhooks/1166785462736793630/hFWyBzyO8hflzUfPkljowYTnY-EOqmAI-slm7RlfGkOjzdE79yzR_2b1FXU0LbnhJ-10 HTTP/1.1" 200 None
[connectionpool.py:1053] - 2023-10-25 18:46:37,163 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:547] - 2023-10-25 18:46:37,443 - DEBUG - https://discord.com:443 "GET /api/webhooks/1166785462736793630/hFWyBzyO8hflzUfPkljowYTnY-EOqmAI-slm7RlfGkOjzdE79yzR_2b1FXU0LbnhJ-10 HTTP/1.1" 200 None
[builder.pyw:425] - 2023-10-25 18:46:58,444 - INFO - Retrieved filename: vaccine
[builder.pyw:394] - 2023-10-25 18:46:58,444 - INFO - Changed filetype: pyinstaller
[builder.pyw:394] - 2023-10-25 18:46:58,445 - INFO - Changed filetype: pyinstaller
[builder.pyw:445] - 2023-10-25 18:46:58,478 - INFO - Successfully changed config
[builder.pyw:489] - 2023-10-25 18:48:48,959 - INFO - Successfully compiled vaccine.exe with pyinstaller
[builder.pyw:529] - 2023-10-25 18:48:49,217 - INFO - Successfully removed directory: ./build
[builder.pyw:538] - 2023-10-25 18:48:49,218 - INFO - Successfully removed file: ./vaccine.spec
[builder.pyw:538] - 2023-10-25 18:48:49,218 - INFO - Successfully removed file: ./tools/upx.exe
[builder.pyw:538] - 2023-10-25 18:48:49,218 - INFO - Successfully removed file: ./vaccine.py
